ts,frame_id,pred_class,pred_conf,distance_m,proposed_action,final_action,reason,safety_json,human_label
0.0023872852325439453,0,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.08681941032409668,1,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.16879773139953613,2,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.2514004707336426,3,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.3354346752166748,4,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.41907572746276855,5,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.5020112991333008,6,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.5856537818908691,7,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.669539213180542,8,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.751906156539917,9,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
0.8357279300689697,10,demo,0.9,,SCENARIO_SEARCH,SCENARIO_SEARCH,Ghost muted safety | Monitoring thermals... nominal. | mode=SystemMode.DEGRADED cams=1 lidar=False,,u
